flight_date,record_created_date,flight_type,origin_airport,destination_airport,aircraft_type,pilot_name,passengers,scheduled_duration_hours,actual_duration_hours,departure_delay_minutes,arrival_delay_minutes
2026-03-02,2026-02-23,Domestic,ILO,PPS,ATR 72-600,Pilot B,189,1.83,1.66,-10,-7
2026-03-07,2026-03-05,Domestic,MNL,KLO,Airbus A320,Pilot L,106,1.66,1.76,1,15
2026-03-06,2026-03-04,International,BCD,CRK,Boeing 737-800,Pilot F,47,7.4,7.59,14,15
2026-04-17,2026-04-15,Domestic,DVO,DGT,Airbus A320,Pilot B,226,3.01,2.9,8,-5
2026-04-14,2026-04-12,Domestic,TAG,DVO,Airbus A321,Pilot A,66,2.36,3.36,31,55
2026-04-12,2026-04-08,Domestic,TAG,ILO,Airbus A320,Pilot E,60,1.07,2.79,88,106
2026-03-29,2026-03-28,Domestic,CRK,ILO,Airbus A320,Pilot L,213,1.96,1.92,21,7
2026-04-13,2026-04-11,Domestic,KLO,PPS,Boeing 737-800,Pilot E,189,1.39,0.95,-4,-15
2026-03-10,2026-03-07,International,KLO,DVO,Airbus A320,Pilot L,68,6.81,6.59,-10,-15
2026-04-24,2026-04-19,Domestic,BCD,PPS,Airbus A320,Pilot F,115,1.13,1.47,5,20
2026-03-31,2026-03-24,Domestic,MNL,DGT,Embraer E190,Pilot J,186,0.93,0.88,-9,1
2026-04-27,2026-04-26,Domestic,CRK,DVO,Airbus A320,Pilot J,184,2.49,3.12,22,41
2026-03-10,2026-03-05,Domestic,CEB,TAG,Boeing 737-800,Pilot A,119,1.89,2.29,22,21
2026-03-31,2026-03-30,Domestic,BCD,CEB,Boeing 737-800,Pilot A,130,2.81,2.81,2,-10
2026-04-12,2026-04-05,Domestic,MNL,DGT,Airbus A320,Pilot L,57,0.98,2.19,56,78
2026-03-31,2026-03-29,Domestic,KLO,CEB,Airbus A321,Pilot L,41,2.72,2.58,-4,-9
2026-03-28,2026-03-22,Domestic,PPS,TAG,Airbus A320,Pilot B,252,0.89,1.29,9,17
2026-03-11,2026-03-05,International,DGT,CRK,Boeing 737-800,Pilot H,90,9.53,9.49,26,3
2026-03-24,2026-03-21,Domestic,DVO,DGT,Airbus A320,Pilot L,243,1.91,2.36,32,27
2026-03-15,2026-03-12,International,MNL,CEB,Airbus A320,Pilot L,49,4.74,5.79,40,63
2026-03-19,2026-03-16,Domestic,PPS,ILO,Airbus A321,Pilot D,257,2.22,2.28,21,13
2026-04-11,2026-04-07,Domestic,MNL,DGT,ATR 72-600,Pilot J,133,0.86,1.8,35,55
2026-04-08,2026-04-04,International,MNL,DVO,ATR 72-600,Pilot H,217,9.47,9.22,-3,-15
2026-04-07,2026-04-02,Domestic,DGT,DVO,Embraer E190,Pilot L,224,2.55,3.07,32,27
2026-03-23,2026-03-19,Domestic,TAG,MNL,Boeing 737-800,Pilot B,117,1.3,1.72,32,34
2026-04-28,2026-04-22,Domestic,PPS,CRK,Boeing 737-800,Pilot H,202,2.38,3.73,45,81
2026-03-06,2026-03-02,Domestic,TAG,CRK,Airbus A321,Pilot A,113,2.6,2.52,-10,-15
2026-03-21,2026-03-18,Domestic,MNL,BCD,ATR 72-600,Pilot E,213,0.94,1.34,-8,9
2026-03-08,2026-03-05,International,MNL,DVO,Boeing 737-800,Pilot A,250,10.11,11.16,30,54
2026-03-21,2026-03-15,International,CRK,CEB,Airbus A321,Pilot F,217,6.36,5.97,-10,-15
2026-04-28,2026-04-27,Domestic,MNL,CEB,Boeing 737-800,Pilot J,200,1.73,2.13,23,21
2026-03-23,2026-03-20,Domestic,TAG,DGT,Boeing 737-800,Pilot H,121,1.01,1.67,35,43
2026-04-25,2026-04-22,Domestic,MNL,DGT,Airbus A320,Pilot D,63,2.81,2.59,-1,-15
2026-03-31,2026-03-26,Domestic,KLO,DVO,Airbus A321,Pilot F,151,2.15,2.06,3,0
2026-04-12,2026-04-11,Domestic,TAG,CEB,Airbus A321,Pilot E,68,2.01,2.1,-10,18
2026-03-28,2026-03-24,International,PPS,MNL,ATR 72-600,Pilot I,151,10.77,10.98,1,15
2026-03-17,2026-03-12,International,DVO,DGT,Airbus A321,Pilot D,231,8.32,8.46,1,3
2026-04-16,2026-04-09,Domestic,ILO,PPS,ATR 72-600,Pilot B,64,2.94,3.04,-3,4
2026-04-29,2026-04-25,Domestic,KLO,PPS,Airbus A321,Pilot G,238,2.53,2.76,-4,11
2026-03-17,2026-03-10,Domestic,PPS,DVO,ATR 72-600,Pilot J,171,3.03,3.47,6,25
2026-04-17,2026-04-12,Domestic,ILO,BCD,Airbus A320,Pilot F,50,2.98,3.05,6,1
2026-03-16,2026-03-10,Domestic,DVO,MNL,Embraer E190,Pilot C,198,3.18,4.68,53,86
2026-04-13,2026-04-11,Domestic,PPS,BCD,Airbus A321,Pilot A,40,1.12,1.62,3,32
2026-04-18,2026-04-11,Domestic,TAG,KLO,Airbus A320,Pilot L,174,2.71,3.34,20,37
2026-03-28,2026-03-26,Domestic,ILO,CRK,Airbus A320,Pilot J,151,2.73,2.76,-1,-11
2026-04-14,2026-04-13,International,MNL,PPS,Airbus A320,Pilot B,204,11.01,10.79,-1,-14
2026-03-17,2026-03-16,Domestic,KLO,BCD,Airbus A321,Pilot A,122,1.47,1.29,-10,-11
2026-03-05,2026-02-28,International,TAG,ILO,Boeing 737-800,Pilot B,66,6.17,6.12,-10,-4
2026-03-06,2026-03-01,Domestic,DGT,CEB,Embraer E190,Pilot E,125,1.29,1.01,-10,-15
2026-03-28,2026-03-26,Domestic,ILO,MNL,Boeing 737-800,Pilot J,207,2.0,2.45,16,30
2026-04-25,2026-04-18,Domestic,CEB,DGT,Boeing 737-800,Pilot B,249,2.05,3.14,36,64
2026-03-08,2026-03-06,Domestic,KLO,DVO,Airbus A321,Pilot J,85,1.19,1.21,-10,5
2026-03-28,2026-03-23,Domestic,TAG,CRK,ATR 72-600,Pilot A,117,2.53,2.4,0,-7
2026-04-12,2026-04-08,Domestic,DGT,BCD,ATR 72-600,Pilot I,232,1.01,0.67,-10,-15
2026-03-13,2026-03-08,International,MNL,DVO,Airbus A321,Pilot D,108,10.25,10.53,6,16
2026-04-14,2026-04-08,Domestic,DVO,CRK,Embraer E190,Pilot L,93,2.84,3.54,36,38
2026-03-19,2026-03-12,Domestic,ILO,PPS,Airbus A321,Pilot F,222,1.64,1.86,2,15
2026-04-19,2026-04-13,Domestic,MNL,KLO,ATR 72-600,Pilot D,148,2.5,2.71,11,27
2026-04-05,2026-03-29,Domestic,TAG,BCD,Embraer E190,Pilot C,168,1.18,2.4,44,69
2026-04-03,2026-03-27,Domestic,CEB,MNL,Boeing 737-800,Pilot J,147,2.83,2.96,22,7
2026-03-11,2026-03-08,Domestic,BCD,ILO,Airbus A320,Pilot E,172,3.08,3.03,-5,4
2026-03-29,2026-03-25,International,DGT,ILO,Boeing 737-800,Pilot E,99,6.01,6.32,15,13
2026-04-22,2026-04-20,Domestic,BCD,DGT,Airbus A320,Pilot I,201,2.46,2.24,-6,-3
2026-03-02,2026-02-23,Domestic,PPS,CEB,ATR 72-600,Pilot G,119,2.01,2.84,21,42
2026-04-16,2026-04-09,Domestic,DVO,CEB,Airbus A321,Pilot H,155,2.08,2.84,23,46
2026-03-31,2026-03-24,Domestic,TAG,PPS,Boeing 737-800,Pilot F,80,2.5,2.56,-10,20
2026-04-13,2026-04-07,International,ILO,BCD,ATR 72-600,Pilot A,42,11.78,12.28,16,29
2026-04-10,2026-04-04,Domestic,MNL,TAG,Airbus A320,Pilot A,165,2.24,2.39,9,12
2026-03-27,2026-03-21,Domestic,CRK,DVO,Airbus A321,Pilot A,70,1.35,1.68,24,24
2026-03-19,2026-03-17,Domestic,CRK,DGT,Boeing 737-800,Pilot G,240,1.71,1.69,30,4
2026-04-08,2026-04-06,Domestic,KLO,DVO,Airbus A321,Pilot G,251,2.88,3.73,23,52
2026-03-09,2026-03-05,Domestic,DVO,BCD,Airbus A320,Pilot I,109,1.06,1.07,5,4
2026-04-05,2026-04-02,Domestic,ILO,CEB,Airbus A320,Pilot K,103,2.23,2.79,33,47
2026-03-06,2026-02-28,Domestic,ILO,DGT,Airbus A321,Pilot C,151,1.24,1.56,-7,10
2026-04-09,2026-04-03,Domestic,CRK,DVO,Boeing 737-800,Pilot L,84,2.83,2.55,-10,-15
2026-04-08,2026-04-01,International,BCD,TAG,Boeing 737-800,Pilot L,229,5.17,4.83,-10,-15
2026-03-06,2026-02-28,Domestic,CRK,CEB,Airbus A320,Pilot H,62,1.77,2.35,10,43
2026-04-16,2026-04-15,Domestic,PPS,CEB,Airbus A321,Pilot G,139,1.4,1.56,-6,4
2026-03-26,2026-03-23,Domestic,DVO,ILO,Airbus A321,Pilot C,81,1.85,1.96,21,16
2026-04-18,2026-04-15,International,TAG,MNL,Airbus A320,Pilot C,222,9.49,9.39,-10,-7
2026-03-03,2026-02-26,Domestic,CRK,CEB,Boeing 737-800,Pilot A,71,2.02,2.33,-2,23
2026-03-11,2026-03-08,Domestic,MNL,BCD,Airbus A321,Pilot H,138,1.93,2.6,22,44
2026-03-31,2026-03-24,Domestic,CEB,DGT,Boeing 737-800,Pilot F,223,2.59,2.21,-10,-15
2026-03-12,2026-03-09,Domestic,TAG,DVO,Embraer E190,Pilot C,136,1.71,2.55,21,55
